Date,QSR_QUANTITY_FAILS,close,open,low,high,volume
2021-04-21,32296,68.88,67.85,67.85,68.88,837860
2021-04-22,6040,68.01,67.19,67.19,68.821,1120210
2021-04-23,4592,67.26,68.42,67.26,68.72,896972
2021-04-26,3674,68.0,69.2,67.338,69.2,729192
2021-04-27,23795,66.99,67.37,66.99,68.2,1069735
2021-04-28,14061,69.24,69.93,69.24,69.98,971774
2021-04-29,27366,71.11,69.64,69.64,71.18,1393886
2021-04-30,23940,72.01,70.4,68.39,72.89,2039669
2021-05-03,196,73.67,72.08,71.17,73.67,1464803
2021-05-04,111,71.82,73.1,70.93,73.97,682048
2021-05-05,104,69.22,70.69,69.2,70.69,1589005
2021-05-06,329,69.87,73.13,69.87,73.13,1586926
2021-05-07,603,72.72,70.24,70.24,72.72,997661
2021-05-10,50514,72.3,72.1,70.18,72.3,920680
2021-05-11,310,69.76,70.96,69.76,70.96,1027439
2021-05-12,453,68.17,68.15,68.15,70.87,1305661
2021-05-13,2251,68.06,67.74,67.74,70.7,849484
2021-05-14,69984,70.27,69.62,68.387,70.27,864414
2021-05-18,47077,70.72,69.09,68.5,70.72,1246006
2021-05-19,150,69.78,68.46,68.46,69.78,1106778
2021-05-20,212047,71.29,69.0,69.0,71.94,1166058
2021-05-21,94657,70.4,70.69,70.229,72.25,821510
2021-05-24,141867,71.33,71.9,68.72,71.9,736166
2021-05-25,224391,70.55,69.38,69.38,71.24,981183
2021-05-26,50228,70.69,70.52,68.47,71.5,881470
2021-05-27,373,72.11,71.3,70.06,72.11,1172198
2021-05-28,69459,72.24,71.39,71.11,72.24,1566023
2021-06-01,125389,70.8,71.0,70.8,73.88,1110697
2021-06-08,344,69.7,71.81,69.7,71.81,941196
2021-06-09,13376,70.3,69.15,68.178,71.76,1273689
2021-06-10,2919,68.83,68.1,68.1,71.13,2407496
2021-06-11,1808,68.5,68.28,68.28,70.6,923816
2021-06-14,492,69.58,68.65,68.65,69.58,719876
2021-06-16,17154,70.06,70.2,70.06,72.01,820823
2021-06-18,2320,68.64,67.58,67.58,69.94,1137769
2021-06-21,2799,69.16,68.38,66.16,69.16,3075557
2021-06-22,295,67.34,69.03,66.38,69.03,3105805
2021-06-23,8309,67.4,66.44,66.44,67.68,1191137
2021-06-24,27944,66.92,68.05,66.56,68.05,883843
2021-06-28,33054,66.31,67.96,63.981,68.49,2636257
2021-06-29,133,66.03,67.04,66.03,67.04,1313717
2021-06-30,17068,66.26,66.44,64.51,67.82,1067165
2021-07-01,136,66.21,66.3,66.21,68.5,769495
2021-07-02,7320,65.9,65.95,65.25,67.06,1505191
2021-07-06,3650,67.6,66.77,66.24,67.97,1226419
2021-07-07,2774,65.29,67.32,64.2761,67.32,972937
2021-07-08,28,64.49,64.43,63.34,65.6,1000348
2021-07-13,309,66.09,64.37,64.37,66.96,790509
2021-07-15,2868,66.68,65.5,64.05,66.68,1088233
2021-07-16,1201,65.24,66.83,64.47,66.83,772603
2021-07-20,27435,64.88,61.81,61.81,64.88,1010923
2021-07-21,638,64.12,66.2,64.12,66.2,989906
2021-07-27,1522,66.29,65.31,65.31,66.99,1685528
2021-07-28,172,65.19,65.65,65.19,67.56,1431072
2021-08-02,1276,69.59,69.34,69.25,70.47,1492349
2021-08-03,1052,67.81,67.94,65.91,69.24,1480567
2021-08-04,12565,68.5,66.5,66.5,68.5,2173699
2021-08-05,710,63.9,65.49,63.05,66.99,5459042
2021-08-06,44956,66.38,65.73,65.44,67.31,2986724
2021-08-09,17895,63.7,66.0,63.7,66.0,2434624
2021-08-10,3484,67.13,63.89,63.89,67.13,2193815
2021-08-11,96,66.4,67.3,66.05,67.84,1463373
2021-08-12,265,66.98,64.89,64.89,67.2,1672170
2021-08-13,98,67.63,68.26,67.63,68.26,1335230
2021-08-17,81,66.39,65.0,65.0,68.0,965993
2021-08-18,259,67.0,65.7,65.54,67.0,1112017
2021-08-19,4409,62.71,64.02,62.71,65.13,1376850
2021-08-23,7055,66.26,65.97,62.89,66.26,1037028
2021-08-24,49109,64.18,63.57,63.57,66.73,991505
2021-08-25,398,66.3,66.89,66.3,66.89,810817
2021-08-27,21829,66.94,65.25,65.25,66.94,679572
2021-08-30,377,65.88,66.37,65.88,66.94,1062412
2021-08-31,5119,65.06,66.3,65.06,67.27,960236
2021-09-02,61,67.64,66.48,65.39,67.64,1476384
2021-09-03,39191,67.09,65.32,65.32,67.49,1795386
2021-09-08,6245,65.7,66.02,65.49,66.81,934183
2021-09-10,7746,66.3,65.1,65.1,68.56,1097586
2021-09-13,14623,66.1,68.38,65.976,68.38,1145643
2021-09-14,1084,65.75,65.89,65.46,67.32,2234792
