Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2021-04-27,26007,9.58,9.56,8.96,9.8372,21223086
2021-04-28,4943,9.7,9.28,9.1487,10.04,12308037
2021-04-29,180320,9.38,9.57,9.0501,9.61,7206983
2021-04-30,176573,9.06,9.19,9.03,9.39,6341427
2021-05-03,140829,8.61,9.25,8.61,9.25,5740039
2021-05-04,67,8.36,8.84,8.36,8.986,8651963
2021-05-05,241211,8.49,8.51,8.49,8.72,3626496
2021-05-06,56502,8.2,8.5,8.02,8.5,7243204
2021-05-07,120953,8.62,8.61,8.5,8.87,5685002
2021-05-10,153741,8.26,8.63,8.26,8.73,5859056
2021-05-11,96272,8.4,8.18,8.11,8.67,8579872
2021-05-12,82678,8.35,8.5,8.07,8.65,7453950
2021-05-13,28015,7.99,8.36,7.877,8.36,13879735
2021-05-14,247957,8.49,8.0,8.0,8.56,9809404
2021-05-17,280707,8.77,8.56,8.48,8.77,5442403
2021-05-18,104407,8.92,8.55,8.428,9.47,7271345
2021-05-19,85557,8.8,8.67,8.67,9.02,5350142
2021-05-20,103808,8.83,9.06,8.83,9.06,4113132
2021-05-21,60142,8.85,8.99,8.53,9.07,5031507
2021-05-24,300285,8.81,8.8,8.6224,8.81,4476178
2021-05-25,40769,8.74,8.87,8.489,9.103,7877981
2021-05-26,64,9.5,9.19,8.93,9.8,26883664
2021-05-27,58975,9.99,9.7,9.33,10.6,46592526
2021-05-28,354916,10.34,10.71,9.968,12.23,121837463
2021-06-01,936242,12.03,11.23,10.92,12.03,91542020
2021-06-02,76691,15.94,13.14,12.47,16.69,351920544
2021-06-03,4257,16.28,19.72,14.03,20.9,553797410
2021-06-04,225427,14.45,16.36,14.4,16.96,180439494
2021-06-07,500299,16.49,15.11,14.24,17.4,201628471
2021-06-08,820598,15.8,17.08,15.8,17.78,162754179
2021-06-09,267431,15.81,15.91,15.0,16.69,106683994
2021-06-10,579597,14.56,15.19,14.4,15.4,70248034
2021-06-11,526932,14.68,14.69,13.61,14.69,58281862
2021-06-14,827692,14.42,14.67,13.83,15.35,48726719
2021-06-15,98797,14.03,14.46,14.03,14.9484,40717227
2021-06-16,36015,12.94,14.29,12.74,14.29,46216974
2021-06-17,122455,14.11,12.79,12.79,14.11,43525563
2021-06-18,228952,12.9,13.73,12.77,14.4,38372171
2021-06-21,86611,13.1,12.88,12.6,13.34,24279978
2021-06-22,1142347,13.62,12.77,12.5,13.75,33749352
2021-06-23,456704,13.63,13.75,13.5,13.75,23197714
2021-06-25,3146,12.32,12.29,11.92,12.77,36999668
2021-06-28,161698,13.0,12.6,12.56,13.25,31364512
2021-06-30,5410,12.36,12.24,12.24,12.52,14423648
2021-07-01,274708,12.31,12.72,11.9395,12.72,12689320
2021-07-02,13107,12.16,12.5,11.93,12.5,10666813
2021-07-06,34712,12.67,12.59,12.289,12.67,11246830
2021-07-07,94570,11.75,12.4,11.56,12.59,12772087
2021-07-08,195,11.64,11.58,11.0,11.83,13076682
2021-07-12,46000,11.44,11.96,11.44,11.96,7528325
2021-07-13,39932,11.26,11.18,11.18,11.48,7040422
2021-07-15,60,10.75,10.96,10.35,11.32,12945682
2021-07-19,44086,10.18,10.05,10.0,10.2258,13020060
2021-07-20,38431,10.99,10.02,10.02,11.08,11203725
2021-07-21,103,10.91,10.86,10.5,11.3,7990315
2021-07-23,20138,10.33,10.46,10.08,10.871,4803834
2021-07-26,26511,10.4,10.25,10.18,10.89,8523996
